"","Document","Topic","Name","Representation","Representative_Docs","Top_n_words","Probability","Representative_document"
"78","Dear President Joe Biden, my feelings for you, are that you made a very hard choice/decision! One that only you could make. I will always Stand beside you! You are a Great President. Much love to you and family! Always, Christine",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"79","literally predicted this exact scenario like two years ago that Kamala Harris will run instead of Joe Biden.",1,"1_kamala_harris_her_she","['kamala', 'harris', 'her', 'she', 'win', 'to', 'the', 'biden', 'trump', 'and']","['It\'s not like there is some precisely honed strategy against Biden from the Trump campaign other than ""Sleepy Joe is the worst!"" I\'m sure they will have a hard time pivoting to ""Crazy Kamala"" and then saying the exact same shit they have always said. This is so stupid.', 'President Biden announced Sunday that he is dropping out of the 2024 presidential race and threw his support behind Vice President Kamala Harris. ""While it has been my intention to seek reelection, I believe it is in the best interest of my party and the country for me to ...', 'Kamala Harris says my intention is to earn and win this nomination after Joe Biden endorses her for 2024 race The committee switched its name from Biden for President to Harris for President.']","kamala - harris - her - she - win - to - the - biden - trump - and",0.658223054695608,FALSE
"80","Democrat political bosses successfully conduct a coup against Joseph R Biden. A mutiny in the making boils over.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.908834459122747,FALSE
"81","Losing Biden's campaign money and dealing with the racial and or gender fallout of passing her up would both be serious problems.",2,"2_she_her_shes_vp","['she', 'her', 'shes', 'vp', 'would', 'michelle', 'and', 'as', 'border', 'than']","['Lindsay Graham is probably the one who made the Grindr gay app crash. If Trump wins/steals the 2024 elections, I recommend that you leave the country as Trump MAGA vampires will hate you and so will the gay community. Will do what we can to stop you from riding the tiger and be', 'Most are going to look to her to choose a candidate from a swing state that is popular, or a Hispanic or white male to appease the majority demographic. I think differently, she should pick a candidate, like Obama did with Biden, who has a huge name and some may prefer they if', ""I have been watching all this growing demand for Bidens resignation. I was against it... but now I'm surprisingly hopeful and excited. I think real Dems will vote for her no matter what- just like they would have voted for Biden. Only now we might pick up younger""]","she - her - shes - vp - would - michelle - and - as - border - than",0.840889636684461,FALSE
"82","Yes, Constitutional Amendments ....LOL! Although, when Biden pardons Hunter, it conceivably could provoke enough GOP outrage, especially mated to Dems winning the White House, that they may go along with one... an amendment that prohibits POTUS from pardoning himself, immediate",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.787371756292338,FALSE
"83","JUST IN: In economic news, Donald Trump's poll numbers sinking faster than Truth Social futures",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.884954961853708,FALSE
"84","It's the same Biden agendas &amp; polices without the stumbles &amp; mumbles.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.892549336030398,FALSE
"85","Your guy is a criminal, rapist and his mind is completely shot. He cant even string a simple sentence together. We may have been shocked by Biden stepping down, but make no mistake, we will rally behind Harris . trump is going down. That POS will never set foot in the WH again",3,"3_harris_biden_in_and","['harris', 'biden', 'in', 'and', 'state', 'as', 'difference', 'critical', 'visiting', 'nc']","['Your guy is a criminal, rapist and his mind is completely shot. He cant even string a simple sentence together. We may have been shocked by Biden stepping down, but make no mistake, we will rally behind Harris . trump is going down. That POS will never set foot in the WH again', 'I think you just need to sit down and shut the hell up micropenis. Just because you all forced Biden out of seeking a second term, doesnt mean he has to resign. You do realize that when we selected Biden in our primary, we selected VP Harris too? Sit down and be quiet.', 'I really really hope so. You know team Trump is losing their shit right now. They spent their entire nazi rally messaging setting Biden up as their opposition Biden needs to go all out before he steps down. No reason not to go scorched earth and smooth the path for Harris.']","harris - biden - in - and - state - as - difference - critical - visiting - nc",0.79434207356728,TRUE
"86","Now what?? Party will be energized, unified, and any candidate will do a better job of getting the msg across better than biden.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.829001292848109,FALSE
"87","You better start uniting and back Kamala. Im really sad you pushed Biden out. Be united now.",1,"1_kamala_harris_her_she","['kamala', 'harris', 'her', 'she', 'win', 'to', 'the', 'biden', 'trump', 'and']","['It\'s not like there is some precisely honed strategy against Biden from the Trump campaign other than ""Sleepy Joe is the worst!"" I\'m sure they will have a hard time pivoting to ""Crazy Kamala"" and then saying the exact same shit they have always said. This is so stupid.', 'President Biden announced Sunday that he is dropping out of the 2024 presidential race and threw his support behind Vice President Kamala Harris. ""While it has been my intention to seek reelection, I believe it is in the best interest of my party and the country for me to ...', 'Kamala Harris says my intention is to earn and win this nomination after Joe Biden endorses her for 2024 race The committee switched its name from Biden for President to Harris for President.']","kamala - harris - her - she - win - to - the - biden - trump - and",1,FALSE
"88","Jie Biden poops his pants then shit the bed. Hilarious.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"89","Maybe your cult should do research instead of be racist",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.773361167123828,FALSE
"90","watchin Joe biden Drop out got me thinking... about how we used to watch Dropout... Bidin' my time til we can get a cup of Joe and reconnect",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"91","Biden ends faltering reelection campaign, backs Harris as nominee Joe Biden Donald Trump Congressionalrepublicans Republicans Presidentialelection",1,"1_kamala_harris_her_she","['kamala', 'harris', 'her', 'she', 'win', 'to', 'the', 'biden', 'trump', 'and']","['It\'s not like there is some precisely honed strategy against Biden from the Trump campaign other than ""Sleepy Joe is the worst!"" I\'m sure they will have a hard time pivoting to ""Crazy Kamala"" and then saying the exact same shit they have always said. This is so stupid.', 'President Biden announced Sunday that he is dropping out of the 2024 presidential race and threw his support behind Vice President Kamala Harris. ""While it has been my intention to seek reelection, I believe it is in the best interest of my party and the country for me to ...', 'Kamala Harris says my intention is to earn and win this nomination after Joe Biden endorses her for 2024 race The committee switched its name from Biden for President to Harris for President.']","kamala - harris - her - she - win - to - the - biden - trump - and",0.625245465001049,FALSE
"92","Kamala Harris is about as popular as a tooth ache. Trump 2024",1,"1_kamala_harris_her_she","['kamala', 'harris', 'her', 'she', 'win', 'to', 'the', 'biden', 'trump', 'and']","['It\'s not like there is some precisely honed strategy against Biden from the Trump campaign other than ""Sleepy Joe is the worst!"" I\'m sure they will have a hard time pivoting to ""Crazy Kamala"" and then saying the exact same shit they have always said. This is so stupid.', 'President Biden announced Sunday that he is dropping out of the 2024 presidential race and threw his support behind Vice President Kamala Harris. ""While it has been my intention to seek reelection, I believe it is in the best interest of my party and the country for me to ...', 'Kamala Harris says my intention is to earn and win this nomination after Joe Biden endorses her for 2024 race The committee switched its name from Biden for President to Harris for President.']","kamala - harris - her - she - win - to - the - biden - trump - and",0.85264373242596,FALSE
"93","Yall switching so quick Were supporting Biden no matter what!",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"94","Why they never say this: If Donald Trump quits, super majority of the US and the world will be very happy and relieved.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.995295533088431,FALSE
"95","We helped President Biden beat Donald Trump before. Im sure well help you beat Trump too.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"96","JD will tell us how great Biden was as president in about 4-5 years. Trump was Hitler and now he cant stop licking his boots!",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"97","otaku girl was a pretty decent song tho",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"98","What is MAGA afraid of",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",0.773361167123828,FALSE
"99","Was this Biden's arm?",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"100","Just as Biden was always too boring until that is exactly what we needed.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"101","Are you sure Biden dropped out on his own accord or was it a coup",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"102","biden was forced out only a professional liar would say otherwise",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"103","Does Joe Biden even know this was tweeted? But it's good to rip the plaster off I guess...",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"104","You didnt have one when you elected Biden",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"105","Do you think Biden knows yet?",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"106","What happens now do the democrats on the ground unite to stick w Kamala? This all seems confusing at this point w that. Aren't the delegates pledged to Biden?",1,"1_kamala_harris_her_she","['kamala', 'harris', 'her', 'she', 'win', 'to', 'the', 'biden', 'trump', 'and']","['It\'s not like there is some precisely honed strategy against Biden from the Trump campaign other than ""Sleepy Joe is the worst!"" I\'m sure they will have a hard time pivoting to ""Crazy Kamala"" and then saying the exact same shit they have always said. This is so stupid.', 'President Biden announced Sunday that he is dropping out of the 2024 presidential race and threw his support behind Vice President Kamala Harris. ""While it has been my intention to seek reelection, I believe it is in the best interest of my party and the country for me to ...', 'Kamala Harris says my intention is to earn and win this nomination after Joe Biden endorses her for 2024 race The committee switched its name from Biden for President to Harris for President.']","kamala - harris - her - she - win - to - the - biden - trump - and",1,FALSE
"107","God is on our side Biden has destroyed so much",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"108","Wrong. Being unelectable because the voters believe Biden is too old is not the same as Biden being mentally infirm. Fact is, Trump is now the oldest guy running for President. He has the same dementia risks of not serving out his term as Biden.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"109","Jealous much. You're still not over the Democratic Party rejecting you. The party listened to their voters. That is why Biden withdrew. What a patriot! The GOP is more interested in rallies &amp; grifting. Kamala 2024",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"110","Joe Biden deserved better than this when it came to the reaction from his party after a 90 minute debate performance that wasnt his best but doesnt define him or his Presidency.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
"111","Everything Biden does is for the good of the country. People have forgotten what a President should be after the dumbing down of the entire GOP while trump was president.",0,"0_biden_the_you_of","['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']","biden - the - you - of - to - and - is - he - for - that",1,FALSE
